values,fault
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.7200239338984901,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
1.0,True
0.14976286277938727,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.6156634788152054,False
1.0,True
0.0,False
0.0,False
0.6767009616905287,False
0.217992603242929,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.1464316549346735,False
0.6510100948919063,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.9644222862500179,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.12317866420866037,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.04772313313595429,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.7232576075962364,False
0.6890922971641582,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.04287264696318304,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.7674276146583204,False
0.7553185805731325,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.761070290181438,False
0.0,False
0.0,False
0.04238101620259513,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.746888700364687,False
0.0,False
0.040161065912861345,False
0.0,False
0.09117985891565018,False
0.148965574749074,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.03833917506578709,False
0.0,False
1.0,True
0.0,False
0.0,False
0.9008296779956814,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0427486430045479,False
0.0,False
0.0,False
0.0,False
0.0,False
0.9005435640658737,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.6247950759341947,False
0.0,False
0.0,False
0.0,False
0.7190373153868265,False
0.721554614868718,False
0.0,False
0.0,False
0.8308454783535353,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.042612792789012595,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.8863330546745748,False
1.0,True
0.8174247223465392,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.8902688549500548,False
0.16757164178571096,False
0.0,False
0.0,False
0.0,False
0.0,False
0.854231259020612,False
0.0,False
0.0,False
1.0,True
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.4322871531915685,False
0.0,False
0.7125561458415944,False
0.14789301041976108,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
1.0,True
0.04033148205329828,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.5183619839771035,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.1361076517470936,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.09098894191074515,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.3399938543184478,False
1.0,True
0.04146427941757615,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.68052706626003,False
0.6829088949728902,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
1.0,True
0.0,False
0.0,False
0.0,False
0.0,False
0.8599066772759321,False
0.43320843716577767,False
0.0,False
0.7151659487661679,False
0.0,False
0.0,False
0.03766810562763014,False
0.0,False
0.6788531123783186,False
0.8478032088679062,False
0.0,False
0.7903039498479055,False
0.0,False
0.4320118423087787,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.5326804719393202,False
0.0,False
0.8544161518245872,False
0.0,False
0.0,False
0.014491213645001454,False
0.0,False
0.0,False
0.0,False
0.015423399250636951,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.032137993325869384,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.013452713734019925,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.013933416313542757,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0710968332224355,False
0.04253276560565537,False
0.08632671912081234,False
0.08632671912081234,False
0.01669268677295903,False
0.07913928391163057,False
1.0,True
0.3770148891790303,False
0.034928240687815144,False
0.0,False
0.012311152168058918,False
0.0,False
0.0,False
0.013603834555111254,False
0.0060499980986502755,False
0.1494347005632753,False
0.0,False
0.05300784138850509,False
0.09591199543603239,False
0.060313571851173246,False
0.762146755145439,False
0.055626245719990586,False
0.0,False
0.3951618825846733,False
0.009993441413778514,False
0.019573507976005506,False
0.03087257077848426,False
0.0,False
0.029267231140736812,False
0.1792151149158473,False
0.0,False
0.35577193012530545,False
0.023523166862709,False
0.07643106938676483,False
0.08533044936642063,False
1.0,True
0.0,False
0.0075372133973691585,False
0.4744180931245388,False
0.0009469858966497181,False
0.0687602081300342,False
0.0,False
0.04460162969087771,False
0.0027956289823819745,False
0.0,False
0.033600892794379014,False
0.03591274360278575,False
0.06156511867443936,False
0.19455149484771006,False
0.006251598413482986,False
0.0,False
0.00037494329612060333,False
0.053125490020049244,False
0.5388405813827258,False
1.0,True
0.022112059848505373,False
0.044024419646263295,False
0.5719725189140581,False
0.021958620827775107,False
0.07151654579112185,False
0.0,False
0.44976934841559985,False
0.0759267037027028,False
0.05018252214890286,False
1.0,True
0.09433667546832089,False
0.5138939915327668,False
0.4116143952143674,False
0.020916265259281627,False
0.04379445743905786,False
0.0538688137110468,False
0.037311500532836925,False
0.1384875197721546,False
0.07479933577574102,False
0.7163608331046087,False
0.04606102494431993,False
0.025521215730213168,False
0.07179721473962915,False
0.0774649150108177,False
0.003923452530810525,False
0.07647236190012703,False
0.05399631793965927,False
0.3899671501125985,False
0.05684952107765239,False
0.044972788052308144,False
0.04232330494227656,False
0.08837426763318322,False
0.052702513623427476,False
0.0,False
0.07530472160571587,False
0.06514421408304202,False
0.0,False
0.06054296622769685,False
0.02735438278230346,False
0.0,False
0.02179789117644132,False
0.35305969674593657,False
0.022427731881824266,False
0.0,False
0.0,False
0.03828097564051583,False
0.011857816440830242,False
0.06391699956273102,False
0.0877701920685725,False
0.015133130706066424,False
0.028343348246864054,False
0.023668440488959188,False
